Country_Name,Year,Gini_Index_(Official),Palma_Ratio,20/20_Income_Gap_Ratio,Income_Share:_Bottom_40%,Income_Share:_Poorest_20%,Income_Share:_Second_Quintile,Income_Share:_Middle_Quintile,Income_Share:_Fourth_Quintile,Income_Share:_Richest_20%,Income_Classification,World_Bank_Region,Total_Population,Inequality_Index_(UNDP),Gini_Index_(World Bank),Local_Currency,World_Bank_Lending_Group,Last_Census_Year,Inequality_Category
Turkmenistan,1999,26.5,2.05,9.12,16.29,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,4466132,12.18,37.53,New Turkmen manat,IBRD,2012,Low Inequality
Tunisia,1975,40.4,2.05,9.12,11.4,6.53,11.16,15.48,21.77,45.11,Lower middle income,Middle East and North Africa,5652476,17.82,37.53,Tunisian dinar,IBRD,2014,Low Inequality
Tunisia,1980,43,2.05,9.12,11.4,6.53,11.16,15.48,21.77,45.11,Lower middle income,Middle East and North Africa,6368167,17.82,37.53,Tunisian dinar,IBRD,2014,Low Inequality
Taiwan,1971,29.5,2.05,9.12,21.71,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,15037995,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,1982,29.4,2.05,9.12,21.89,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,18299157,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,1983,29.3,2.05,9.12,21.89,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,18584306,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,1984,29.2,2.05,9.12,21.89,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,18862027,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,1985,29.2,2.05,9.12,21.89,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,19130093,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,1987,28.6,2.05,9.12,22.1,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,19634014,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,1988,29.3,2.05,9.12,22.1,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,19869947,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,1989,29.1,2.05,9.12,22.1,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,20095747,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,1990,29.8,2.05,9.12,22.1,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,20311698,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,1992,29.2,2.05,9.12,21.85,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,20716684,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,1993,29.3,2.05,9.12,21.85,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,20902884,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,1994,29,2.05,9.12,21.85,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,21074053,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
